element,opponent_team,was_home,minutes,total_points,goals_scored,assists,expected_goals,expected_assists,clean_sheets,avg_minutes,avg_points,avg_goals,avg_xG,avg_assists,avg_xA,clean_sheets_last3,opponent_strength,element_type_1,element_type_2,element_type_3,element_type_4
4,17,0,45.0,1.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,0,0,1,0
4,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.33,0.0,0.0,0.0,0.08,0,0.3,0,0,1,0
4,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.33,0.0,0.0,0.0,0.08,0,1.0,0,0,1,0
4,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.33,0.0,0.0,0.0,0.08,0,0.2,0,0,1,0
4,5,0,1.0,1.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
4,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0,0.5,0,0,1,0
4,7,1,8.0,1.0,0.0,0.0,0.05,0.05,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0,0.7,0,0,1,0
4,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.33,0.0,0.02,0.0,0.02,0,0.7,0,0,1,0
4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.33,0.0,0.02,0.0,0.02,0,0.5,0,0,1,0
4,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.33,0.0,0.02,0.0,0.02,0,0.7,0,0,1,0
4,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3,0,0,1,0
5,16,1,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.2,0,1,0,0
5,8,0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0.5,0,1,0,0
5,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0,0.5,0,1,0,0
5,14,1,90.0,2.0,0.0,0.0,0.0,0.01,0.0,8.0,0.67,0.0,0.0,0.0,0.0,0,0.7,0,1,0,0
5,9,0,90.0,5.0,0.0,0.0,0.0,0.02,1.0,36.67,1.0,0.0,0.0,0.0,0.0,0,0.3,0,1,0,0
5,18,1,90.0,1.0,0.0,0.0,0.07,0.01,0.0,60.0,2.33,0.0,0.0,0.0,0.01,1,0.7,0,1,0,0
5,3,0,90.0,6.0,0.0,0.0,0.0,0.0,1.0,90.0,2.67,0.0,0.02,0.0,0.01,1,0.5,0,1,0,0
5,13,1,90.0,8.0,0.0,0.0,0.0,0.0,1.0,90.0,4.0,0.0,0.02,0.0,0.01,2,1.0,0,1,0,0
